# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:35:54.851819 [Step   3729] NORMAL       | total=4850.2ms | mode=NORMAL
2025-12-13T19:36:00.144935 [Step   3730] NORMAL       | total=5289.1ms | mode=NORMAL
2025-12-13T19:36:05.316434 [Step   3731] NORMAL       | total=5166.6ms | mode=NORMAL
2025-12-13T19:36:10.688710 [Step   3732] NORMAL       | total=5367.1ms | mode=NORMAL
2025-12-13T19:36:15.989235 [Step   3733] NORMAL       | total=5295.0ms | mode=NORMAL
2025-12-13T19:36:21.718003 [Step   3734] NORMAL       | total=5723.6ms | mode=NORMAL
2025-12-13T19:36:26.939983 [Step   3735] NORMAL       | total=5217.3ms | mode=NORMAL
2025-12-13T19:36:32.069358 [Step   3736] NORMAL       | total=5123.3ms | mode=NORMAL
2025-12-13T19:36:37.579405 [Step   3737] NORMAL       | total=5505.0ms | mode=NORMAL
2025-12-13T19:36:42.880769 [Step   3738] NORMAL       | total=5296.5ms | mode=NORMAL
2025-12-13T19:36:48.220061 [Step   3739] NORMAL       | total=5331.3ms | mode=NORMAL
2025-12-13T19:36:53.510959 [Step   3740] NORMAL       | total=5284.9ms | mode=NORMAL
2025-12-13T19:36:59.243887 [Step   3741] NORMAL       | total=5726.8ms | mode=NORMAL
2025-12-13T19:37:04.763125 [Step   3742] NORMAL       | total=5513.9ms | mode=NORMAL
2025-12-13T19:37:10.056991 [Step   3743] NORMAL       | total=5288.8ms | mode=NORMAL
2025-12-13T19:37:15.815221 [Step   3744] NORMAL       | total=5751.1ms | mode=NORMAL
2025-12-13T19:37:20.807962 [Step   3745] NORMAL       | total=4987.0ms | mode=NORMAL
2025-12-13T19:37:26.038199 [Step   3746] NORMAL       | total=5224.7ms | mode=NORMAL
2025-12-13T19:37:31.571127 [Step   3747] NORMAL       | total=5525.8ms | mode=NORMAL
2025-12-13T19:37:36.895790 [Step   3748] NORMAL       | total=5318.4ms | mode=NORMAL
2025-12-13T19:37:42.301160 [Step   3749] NORMAL       | total=5399.1ms | mode=NORMAL
2025-12-13T19:37:47.803683 [Step   3750] NORMAL       | total=5495.3ms | mode=NORMAL
